"RIM","Migration Type","REGIONTYPE","Region Type","ASGS_2011_STATE_GCCSA_SA4_SA3_SA2","Region","FREQUENCY","Frequency","TIME_FY","Time","Value","Flag Codes","Flags"
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2010","2009-10",77,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2011","2010-11",35,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2012","2011-12",88,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2013","2012-13",78,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2014","2013-14",72,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2015","2014-15",120,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2007","2006-07",-42,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2008","2007-08",63,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2009","2008-09",48,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2010","2009-10",82,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2011","2010-11",59,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2012","2011-12",64,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2013","2012-13",54,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2014","2013-14",11,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2015","2014-15",76,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2007","2006-07",107,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2008","2007-08",132,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2009","2008-09",165,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2010","2009-10",242,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2011","2010-11",144,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2012","2011-12",85,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2013","2012-13",158,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2014","2013-14",123,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2015","2014-15",251,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2007","2006-07",0,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2008","2007-08",61,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2009","2008-09",91,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2010","2009-10",82,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2011","2010-11",120,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2012","2011-12",90,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2013","2012-13",92,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2014","2013-14",92,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2015","2014-15",108,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2007","2006-07",88,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2008","2007-08",96,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2009","2008-09",98,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2010","2009-10",64,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2011","2010-11",19,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2012","2011-12",230,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2013","2012-13",30,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2014","2013-14",63,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2015","2014-15",84,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2007","2006-07",-63,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2008","2007-08",-74,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2009","2008-09",97,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2010","2009-10",60,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2011","2010-11",-26,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2012","2011-12",41,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2013","2012-13",55,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2014","2013-14",10,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2015","2014-15",50,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2007","2006-07",-40,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2008","2007-08",136,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2009","2008-09",179,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2010","2009-10",95,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2011","2010-11",104,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2012","2011-12",108,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2013","2012-13",239,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2014","2013-14",145,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2015","2014-15",62,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2007","2006-07",53,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2008","2007-08",89,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2009","2008-09",92,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2010","2009-10",95,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2011","2010-11",68,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2012","2011-12",64,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2013","2012-13",-45,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2014","2013-14",85,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2015","2014-15",52,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2007","2006-07",-36,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2008","2007-08",17,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2009","2008-09",44,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2010","2009-10",39,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2011","2010-11",-1,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2012","2011-12",21,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2013","2012-13",-72,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2014","2013-14",60,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2015","2014-15",1,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2007","2006-07",-24,,
