"","Region","TIME_FY","Time","Value","dist_from_syd"
"412","Blacktown (South)",2013,"2012-13",-193,NA
"413","Blacktown (South)",2014,"2013-14",-411,NA
"414","Blacktown (South)",2015,"2014-15",-309,NA
"415","Doonside - Woodcroft",2007,"2006-07",-85,NA
"416","Doonside - Woodcroft",2008,"2007-08",-57,NA
"417","Doonside - Woodcroft",2009,"2008-09",17,NA
"418","Doonside - Woodcroft",2010,"2009-10",-23,NA
"419","Doonside - Woodcroft",2011,"2010-11",-204,NA
"420","Doonside - Woodcroft",2012,"2011-12",-123,NA
"421","Doonside - Woodcroft",2013,"2012-13",-117,NA
"422","Doonside - Woodcroft",2014,"2013-14",388,NA
"423","Doonside - Woodcroft",2015,"2014-15",421,NA
"424","Lalor Park - Kings Langley",2007,"2006-07",-524,NA
"425","Lalor Park - Kings Langley",2008,"2007-08",-294,NA
"426","Lalor Park - Kings Langley",2009,"2008-09",-281,NA
"427","Lalor Park - Kings Langley",2010,"2009-10",-147,NA
"428","Lalor Park - Kings Langley",2011,"2010-11",-108,NA
"429","Lalor Park - Kings Langley",2012,"2011-12",-197,NA
"430","Lalor Park - Kings Langley",2013,"2012-13",-140,NA
"431","Lalor Park - Kings Langley",2014,"2013-14",-205,NA
"432","Lalor Park - Kings Langley",2015,"2014-15",-156,NA
"433","Seven Hills - Toongabbie",2007,"2006-07",-456,NA
"434","Seven Hills - Toongabbie",2008,"2007-08",-345,NA
"435","Seven Hills - Toongabbie",2009,"2008-09",-262,NA
"436","Seven Hills - Toongabbie",2010,"2009-10",-254,NA
"437","Seven Hills - Toongabbie",2011,"2010-11",-198,NA
"438","Seven Hills - Toongabbie",2012,"2011-12",-293,NA
"439","Seven Hills - Toongabbie",2013,"2012-13",-253,NA
"440","Seven Hills - Toongabbie",2014,"2013-14",-369,NA
"441","Seven Hills - Toongabbie",2015,"2014-15",-313,NA
"442","Glenwood",2007,"2006-07",369,NA
"443","Glenwood",2008,"2007-08",171,NA
"444","Glenwood",2009,"2008-09",186,NA
"445","Glenwood",2010,"2009-10",149,NA
"446","Glenwood",2011,"2010-11",-60,NA
